topic,content
Basketball,"When Breanna Stewart, the reigning W.N.B.A. most valuable player, was carried off the floor of the Euroleague championship game in Hungary last weekend with a ruptured Achilles’ tendon, her pain was not just her own.“I love Stewie and was heartbroken to hear about her injury, especially coming off an unbelievable W.N.B.A. season and World Cup,” Elena Delle Donne, the Washington Mystics star and a former league most valuable player, said. “She’s just a great player, competitor and friend. She will be missed this year, but I know she will come back stronger than ever.”Stewart is not only a beloved player for the Seattle Storm; she is also a prominent symbol of an enduring issue in professional women’s basketball in the United States: Its players’ seasons never end.A rookie selected in this month’s W.N.B.A. draft will make $41,265 to $53,537 in base salary, and nobody in the league will earn a base salary of as much as $120,000 this coming season.Because of that, many of the 144 players in the W.N.B.A. maximize their earning window by heading to Europe and Asia, where independent owners, free of salary caps, can offer them lucrative opportunities.There is a price to pay, however: endless seasons bleeding into one another; a physical, psychological and emotional toll; and, the players say, a heightened risk of injury.A few weeks ago, Victoria Vivians, a 2018 first-round pick of the Indiana Fever, tore her anterior cruciate ligament playing in Israel. She, like Stewart, will miss the 2019 W.N.B.A. season.These were only the biggest, latest injuries. Consider one by Amanda Zahui B., the Liberty center, who plays for Sopron Basket in Hungary.“I just twisted my ankle really bad,” she said in a phone interview in the past week. “It’s a swollen potato. But I got to practice through it. We don’t really have the time to take off. Everyone twists their ankles. Everyone gets bone bruises in their knees and such.”All of which elevates the question of how much W.N.B.A. players are paid, and whether a framework can be established to keep more of them in the United States during the league’s off-season.“I’ve always said, everybody that plays overseas in the W.N.B.A. needs therapy,” Mystics guard Kristi Toliver, who spent a decade on the hamster wheel of women’s professional basketball before being hired this off-season as an assistant coach for the N.B.A.’s Washington Wizards, said ahead of her 11th W.N.B.A. campaign. “It’s just a real thing — just so much that you go through with the travel and, being away from loved ones, family or significant others, and trying to manage and deal with all these different things that are coming at you.“But you have a high-level job and you have to perform well in order to keep it.”Ending the financial need for nonstop play is a prime focus of Terri Jackson, president of the Women’s National Basketball Players Association. It appears the league is supportive as well, which is not surprising, given that the quality of play would most likely rise and players who remained in their home market could promote their teams year-round.“I think it’s a dream, a goal, of the union to grow the league to the point where players can work in it year-round and not have to endure the risks and the rigors of overseas play, of that 12-month calendar,” Jackson said. “It’s a matter that concerns me. It’s a matter that is top of mind for the executive committee and our larger C.B.A. committee.”That focus is particularly important right now, after the players’ association opted out of its collective bargaining agreement with the league late last year. So the injury to Stewart, while reflecting a longstanding reality, has also shed new light on the way these players earn a living."
Basketball,"LOS ANGELES — Mick Cronin has been hired as UCLA's basketball coach, ending a months-long search to find a replacement for the fired Steve Alford.The university says Cronin agreed to a $24 million, six-year deal Tuesday.He leaves his alma mater Cincinnati after 16 seasons, having led the Bearcats to the NCAA Tournament in each of the last nine years.The 47-year-old coach will be introduced at a campus news conference Wednesday.Cronin's only other head coaching stint was at Murray State from 2003-06. He was associate head coach at Louisville from 2001-03 and worked as an assistant and video coordinator from 1996 to 2001 at Cincinnati.Alford was fired on Dec. 31.___"
Basketball,"TAMPA, Fla. — Baylor and Notre Dame capped the women's college basketball season with a thrilling championship game.The sport now has had a different champion in the past four years with the Lady Bears edging the Irish 82-81 on Sunday night to win their third title. It's only the second time in the past two decades that there have been that many teams claiming the title.""Just a great game for women's basketball,"" Baylor coach Kim Mulkey said.The 11-point combined differential for the three games in the Final Four was the closest in the history of the tournament, topping last season's 15-point margin. More than 40,000 fans attended the Final Four games, which was the most since 2010. Overall, nearly 275,000 fans attended the entire tournament, which ranks eighth all-time, including 20,127 for the title game. It was the highest attendance in over 15 years for the NCAAs.""We've had a really great championship. Our first- and second-round numbers is the best we've seen in 11 years,"" NCAA vice president for women's basketball Lynn Holzman said.There were a number of competitive games in the entire tournament, including Sunday night's title tilt. During the regular season, the Top 25 was upset and three different teams held the No. 1 spot in the poll, including Baylor, which was the most since 2012.While 12 of the 15 players on the AP All-American teams will not be returning, the future is still bright with plenty of star power coming back.Oregon Ducks junior Sabrina Ionescu announced Saturday night that she was going to return for her senior season. She potentially could have gone to the WNBA this year.Notre Dame guard Jackie Young hasn't revealed her intentions yet. Like Ionescu, the junior turns 22 this year which makes her eligible for the WNBA draft.Baylor forward Lauren Cox will be back at some point next year. She injured her left knee in the title game in the third quarter. Mulkey made it sound like Cox could miss at least some of next season because of the injury.""That kid, if she didn't get hurt, and she will be back, God works in mysterious ways, would have been the No. 1 probably pick in the draft next year,"" Mulkey said. ""That kid probably would have been defensive player of the year nationally next year. That's how good she is. And she will be back, I promise you that. It may take her a year. We'll rest her, do whatever.""______"
Basketball,"Mike Anderson was hired as the new men’s basketball coach at St. John’s on Friday after being fired at Arkansas last month.Anderson, 59, takes over for the former St. John’s star Chris Mullin, who resigned on April 9, citing a “recent personal loss.” Mullin’s older brother, Roddy, died recently at 58 after having cancer for years.Terms of Anderson’s contract were not disclosed. He also coached at Missouri and Alabama-Birmingham before leading the Razorbacks to five postseason appearances and a 169-102 record in eight seasons.Anderson, a native of Birmingham, Ala., spent the first part of his career working for Nolan Richardson. Anderson played for Richardson at Tulsa before becoming an assistant under him there.When Richardson left for Arkansas, Anderson joined him in Fayetteville. He was an assistant at Arkansas for 17 years, helping the Razorbacks win the 1995 national championship. Anderson is 369-200 in 17 seasons as a Division I coach and has never had a losing record.He is known for coaching up-tempo teams that press on defense. Anderson said at a news conference that his goal was for St. John’s to play an exciting style of basketball, adding that the Red Storm would be “one of the top assist teams in the country” and “one of the top turnover teams in the country.”Anderson said that he envisioned a team that was unpredictable.“You don’t know what we’re going to do,” he said. “Our pressure may come from the half court. It may come full court. It may come from a zone. Now you’ve got to worry about what we’re doing. I don’t worry about what teams do. I worry more about what we’re doing.”Mullin guided the Red Storm to the N.C.A.A. tournament this year for the only time in his four seasons as the coach. They were immediately eliminated by Arizona State in an opening-round game, and the program has not won in the tournament since 2000.In the wake of Mullin’s departure, there was some criticism about the length of the hiring process, as certain top candidates withdrew from consideration.Arizona State’s Bobby Hurley and Loyola-Chicago’s Porter Moser were initially targeted as replacements for Mullin but decided to stay at their universities. Iona Coach Tim Cluess said in a statement on Thursday that he had been contacted but was withdrawing his name from consideration.The St. John’s athletic director, Mike Cragg, defended the process.“I would say nine days is a pretty thorough and efficient search,” said Cragg, who came from Duke last fall.Anderson said he had not spoken to Mullin about the state of the program, but planned to reach out to him. He will have plenty of work to do in order to build a strong Big East roster for next season. The junior guards Shamorie Ponds and Justin Simon have declared for the N.B.A. draft, and L. J. Figueroa and guard Bryan Trimble Jr. have reportedly placed their names in the transfer portal.The new coach, who does not have ties to New York, said his plan was to recruit in the area."
Basketball,"CHAPEL HILL, N.C. — The families of several University of North Carolina women’s basketball players complained last week of racially insensitive remarks by Sylvia Hatchell, the program’s Hall of Fame coach, who was subsequently put on leave, according to two people with direct knowledge of the allegations.Hatchell’s lawyer, Wade M. Smith, said in an interview Thursday that his client was aware of the accusations that were described in detail by one of the people with direct knowledge. He said his client’s words had been misquoted or misconstrued.The families detailed their concerns in a meeting that some U.N.C. officials attended in Chapel Hill while the athletic director, Bubba Cunningham, joined by video conference from another location, according to the person who described the meeting and spoke on the condition of anonymity out of fear of retaliation.The meeting included accusations that Hatchell had warned that a loss to Louisville could lead to “nooses,” according to the person, and that the coach had once urged players to do a “tomahawk chop” war cry, a request the women resisted.Within days of the meeting, the university, which has been in the midst of a reckoning over racism and Confederate history, announced that Hatchell and her three assistants would be put on paid administrative leave while an outside law firm conducted a review to “assess the culture of the women’s basketball program and the experience of our student-athletes.”The announcement stunned North Carolina and appeared abrupt, but in the discussion with university officials on March 28, players’ relatives said Hatchell’s conduct had caused discomfort during at least two basketball seasons, according to the person.The families also told university officials that Hatchell had complained that her team played like “old mules” during a game against Georgia Tech — a remark that some took as a reference to female slaves and that caused at least one player to cry, according to the person.In another instance, according to the person, the families said that Hatchell had warned that if U.N.C. turned in a middling performance against Louisville, “nooses” would await.“If you guys play this way against Louisville, they’re going to take y’all outside with some nooses,” Hatchell said, according to the person, who was told of the remark by people who were present.The reference to “nooses,” the person said, led to two apologies from Hatchell, the second because players thought the first one had lacked sincerity. The players remained frustrated with their coach but elected to wait until the off-season to address their concerns.Smith said the coach had used different words when warning about the coming Louisville game. “She said words like: ‘They’re going to hang us out to dry. They’re going to take a rope and hang us out to dry,’” the lawyer said.Smith said his client “doesn’t have a racist bone in her body.”Allegations of racism against Hatchell were first reported by The Washington Post.Five days after U.N.C.’s season ended, with a 20-point loss to California in the opening round of the N.C.A.A. tournament, the families voiced their grievances in the meeting.A North Carolina athletic department spokesman declined to comment. When the university announced the review on Monday, it said it was “committed to the well-being of our student-athletes and to ensuring that they have the best experience possible in and outside of competition.”"
Basketball,"NEW YORK — After a meandering search, St. John's finally settled on Mike Anderson as its new basketball coach.Anderson was hired Friday by the Red Storm after getting fired at Arkansas last month. He also had head coaching stints with Missouri and UAB before leading the Razorbacks to five postseason appearances and a 169-102 record in eight seasons.Once he was let go, it didn't take long for Anderson to land another job. Terms of the contract were not disclosed.""I've been dreaming about this moment for the last nine days,"" St. John's athletic director Mike Cragg said during a news conference at Madison Square Garden. ""And I found the right guy. We are going to win championships.""The 59-year-old Anderson takes over for former St. John's star Chris Mullin, who resigned on April 9, citing a ""recent personal loss."" His older brother, Roddy, died last month at 58 after battling cancer for years.Anderson said he had not spoken to Mullin about the state of the program, but planned to reach out to him. Mullin guided the Red Storm to the NCAA Tournament this year for the only time in his four seasons at the helm. They were immediately eliminated by Arizona State in a First Four game, and the school doesn't have an NCAA Tournament victory since 2000.In the wake of Mullin's departure, St. John's drew criticism for being unable to lure initial coaching candidates during a protracted hiring process.Arizona State's Bobby Hurley and Loyola-Chicago's Porter Moser were targeted before deciding to stay at their schools. Iona coach Tim Cluess said in a statement Thursday he was contacted but was withdrawing his name from consideration. And according to reports, St. John's spoke to Yale coach James Jones and former Georgia Tech and George Mason coach Paul Hewitt about the job as well.In a radio interview Wednesday on WFAN, wealthy alum Mike Repole was critical of President Conrado ""Bobby"" Gempesaw, Vice President Joe Oliva, and the school's board of trustees.Ultimately, the Red Storm decided on Anderson, who is 369-200 in 17 seasons as a Division I head coach. He has never had a losing record.Neither Oliva nor Cragg would comment specifically on Repole's criticism, but both defended the process the school went through before picking Anderson.""I would say nine days is a pretty thorough and efficient search,"" said Cragg, who came to St. John's from Duke last fall.Anderson, a native of Birmingham, Alabama, spent the first part of his career working for Nolan Richardson. Anderson played for Richardson at Tulsa before becoming an assistant under him with the Golden Hurricane.When Richardson left for Arkansas, Anderson joined him in Fayetteville. He was an assistant coach at Arkansas for 17 years, helping the Razorbacks win the 1995 national championship.Known for coaching up-tempo teams that press on defense, Anderson said his goal is to implement an exciting style of basketball that is ""really entertaining."" He said his teams would be ""one of the top assist teams in the country."""
Basketball,"Jonas Wood’s East Hollywood studio — a refurbished industrial space hidden behind a razor-wired metal gate — is populated with the familiar objects that appear in his paintings. There are colonies of potted plants and basketball paraphernalia that ranges in size from plush couch cushions to man-sized orbs. Every room is filled with art, most notably by the ceramist Shio Kusaka, Wood’s studio mate and wife, and Kiki and Momo, their son and daughter. But the studio is where Wood culls various photographs from the internet or his own archive and uses them as source material for his paintings — they are printed out and pinned onto walls, then flattened and distilled into blocks of color. Wood then layers these dense graphic patterns, overlapping fields of stipples and stripes, circles, squares, dots and wood grains.[Coming later this spring: the T List newsletter, a weekly roundup of what T Magazine editors are noticing and coveting. Sign up here.]Thirteen years into his career, following a year and a half of preparation, Wood is finally wrapping up preparations for the two biggest shows he’s ever done: an exhibition of new work at Gagosian in New York, opening in late April, and a survey at the Dallas Museum of Art, opening this week — his first major solo museum exhibition. Admittedly, the prospect of facing works — landscapes, interiors and portraits of family and friends — from his early career was giving Wood “a hard time sleeping.” He wondered, “Are the old paintings horrible?” and “Did I used to be a better painter and now I’m worse?” During the installation of the show at the museum last week, he had two big realizations: “I wasn’t a hack, which is a big relief,” and that now, after more than a decade of steadily producing gallery shows, he might be ready to slow down.Nursing a can of tangerine-flavored LaCroix, Wood answered T’s Artist’s Questionnaire, which unearthed memories of the early days of his career, the first painting he ever sold — and the YouTube videos that nearly brought him to tears.What is your day like? How much do you sleep, and what’s your work schedule like?I drop the kids off at school, eat some breakfast, start working a little bit, usually have a meeting, have lunch and work for a couple hours in the afternoon. Maybe I’ll work for a couple hours at night. I’m trying to sleep more. In general, in the last couple of years, I’ve been trying to balance sleeping, eating, working, working out and spending time with the family. I’ve had my head down trying to make it as an artist since 2006, and I’ve had one or two shows a year for 12 years in a row. It’s not that I want to paint less, per se, but I want to take a step back.I’m talking about taking a step back and looking at what I’ve done, and taking a step back from the pace that I was running and changing gears. After these two exhibitions, I don’t have any booked shows coming up. It’s a big opportunity for me to rearrange the way I spend my time. I love to paint and I want to paint, but I don’t have to paint right now, this second, and I don’t have to paint all next week and miss four school events.How many hours of creative work do you think you do in a day?Every day, I’m super into it. I need to paint. If I go away for a couple weeks, I’ll just draw. It’s like a must for my mental health. I would have to say that I’ve been all-in on painting since I was younger, and I realized that it was because of a lot of fear that it would all go away. That’s not how I want to paint in the future. The pressure and psychology of that setup isn’t totally right. I would like to build bodies of work outside the calendar schedule of art fairs and shows for a little while. I love painting, and I think I can paint without having a giant carrot in front of me. I don’t think that I’m the best at painting, and I want to get better at it.What’s the first piece of art you ever made?The first painting I really cared about was probably when I was a teenager, maybe 13 or 14 years old.What’s the worst studio you ever had?The freezing-cold basement of my parents’ house on Martha’s Vineyard. Winter of 2002.What’s the first work you ever sold? For how much?"
Basketball,"CHARLOTTE, N.C. — Consider the following scenes from the N.B.A.’s annual bacchanal/business convention known as All-Star weekend:Spike Lee standing on a street corner waiting for the crosswalk signal. Stan Kroenke, whose family owns the Denver Nuggets, holding court in a hotel lobby. Joel Embiid, the star center of the Philadelphia 76ers, making small talk with the governor of North Carolina. An army of personal stylists waiting to be summoned by their clients for some of the flashiest events of the year.And then there were the agents and league officials and sneakerheads and reporters, some of whom traveled great distances to make unconventional requests of the weekend’s main attractions.“Shout out to my fans in Mongolia!” John Collins of the Atlanta Hawks yelled into a camera the morning before his appearance in the Saturday slam dunk contest.[Slam Dunk Contest: Hamidou Diallo’s Dunk Is Even Better Viewed Frame by Frame]All-Star weekend tends to be a blend of basketball and branding, business and pleasure — a showcase for a powerful league whose global influence continues to expand.“The whole weekend,” Mike Conley of the Memphis Grizzlies said, “is just a big party.”The All-Star Game itself, scheduled for Sunday night, felt secondary to just about everything else in the host city, as it has for many years. Daryl Morey, the general manager of the Houston Rockets, recalled waiting in line in 2006 for one of the more popular parties at All-Star weekend in Houston, where he watched Maciej Lampe — a center from Poland who appeared in 64 career games over parts of three seasons — bypass the line so that he could immediately be waved inside by security.“And I’m like, ‘Man, I’m behind Maciej Lampe?’” said Morey, who would officially join the front office of the Rockets a little more than six weeks later.All-Star weekend has only grown in recent years. One spreadsheet making the rounds in Charlotte listed more than 100 parties, and that did not include many of the more exclusive events. (Michael Jordan hosted a big one.) Thanks to a change in the league schedule, there is more partying and less deal-making than there used to be.Last year, the league moved the trade deadline up so that it preceded All-Star weekend. In the past, the deadline came a few days after the game, a sequence which helped create its share of absurdity. One of the more notorious examples came in 2017, when word leaked during the fourth quarter of the All-Star Game that the New Orleans Pelicans had struck a deal to acquire DeMarcus Cousins from the Sacramento Kings. Cousins learned of the trade during postgame interviews.The weekend vibe is different now.“It’s so much more fun,” one prominent agent said at a party that he hosted.In the corner, a disc jockey who appeared to be in his 60s spun tunes in a Hawaiian shirt and red-tinted glasses, while women wearing bright red dresses passed out hors d’oeuvres. Agents, clients and marketing honchos milled about the room.But none of this is meant to suggest that deals do not get done."
Basketball,"Marc Stein, an N.B.A. reporter for more than 30 years who now covers the league for The New York Times, and Ralph Lawler, longtime broadcaster for the Los Angeles Clippers, were honored on Friday by the Naismith Memorial Basketball Hall of Fame, which named them as the 2019 Curt Gowdy Media Award recipients for their contributions to basketball.Stein, 49, and Lawler, 80, will be among those honored at the Hall of Fame’s September enshrinement ceremonies in Springfield, Mass.Stein started his career covering the Clippers and then the Lakers for The Los Angeles Daily News, before moving to The Dallas Morning News as a Mavericks beat reporter and eventually a national columnist. From there, he went to ESPN for 15 years, developing a reputation for breaking news and helping the network build its digital coverage of the N.B.A. He joined The Times in 2017.Lawler has announced that he will retire at the end of this season after more than 2,000 broadcasts in his 30 years with the Clippers. He established his reputation as a broadcaster in Philadelphia, working on Phillies, Flyers and 76ers games.The Hall of Fame also announced 13 finalists for induction this year, including four first-time finalists: Marques Johnson, the 1977 national collegiate player of the year; Jack Sikma, a seven-time N.B.A. All-Star; Ben Wallace, a four-time recipient of the Defensive Player of the Year Award; and Paul Westphal, a four-time All-Star and a longtime coach.The other finalists are Leta Andrews, Hugh Evans, Bill Fitch, Bobby Jones, Sidney Moncrief, Barbara Stevens, Eddie Sutton, Teresa Weatherspoon and Chris Webber.The election results will be announced at the men’s Final Four in April."
Basketball,"A student at a Catholic school in Kentucky has sued the Northern Kentucky Health Department, claiming it violated his First Amendment rights by barring him from playing basketball because he refused to be vaccinated against chickenpox.The lawsuit, filed last week in Boone County Circuit Court on behalf of the student, Jerome Kunkel, an 18-year-old senior, argues that the action violates his right to freedom of religion. Being vaccinated, it contends, would go against Mr. Kunkel’s religious beliefs as a practicing Catholic, because the vaccine contains “aborted fetal cells.”The lawsuit came after an outbreak of chickenpox at Assumption Academy in Walton, Ky., prompted officials to send out two warnings in February.On March 14, the Health Department issued a statement saying that because there had been 32 cases of chickenpox at the school, students who were not vaccinated or already immune could not attend school “until 21 days after the onset of rash for the last ill student or staff member.” The statement also said all school extracurricular events would be canceled.Mr. Kunkel’s lawyer, Chris Wiest, said in an interview on Monday that the school had told him in February that he could not play in or attend any basketball games because he was not vaccinated.Mr. Kunkel is also now barred from attending school because of the Health Department’s action.“I’m pretty devastated,” Mr. Kunkel, who was captain of the basketball team, said in an interview on Monday night. After playing for all four years of high school, “for it come crashing down at the end, it’s not very fun,” he added. Mr. Kunkel was not able to play in the last three games of the season.The lawsuit contends that in Kentucky, students are allowed a vaccination exemption on religious grounds if they provide a sworn statement, which Mr. Kunkel did in early 2018.The chickenpox vaccine is grown in cells originally derived from fetuses aborted in the early 1960s. Vaccines may contain nanofragments of DNA from the fetal cells, which are used because human viruses do not grow well in animal cells, according to a statement the vaccine’s manufacturer, Merck, gave to ABC News.It is unclear how many students have been barred from attending the school because they have not been vaccinated or were found to be immune. Mr. Wiest, however, said that the parents of at least 18 children at the school had contacted him since the Health Department’s announcement.“I think this is going to be a much bigger fight at the end of the day,” Mr. Wiest said.Officials at the school did not immediately respond to a request for comment on Monday. But the Health Department defended its response to the outbreak.The action, the department said in its statement, was “in direct response to a public health threat and was an appropriate and necessary response to prevent further spread of this contagious illness.” A spokesman for the department declined to comment further."
